Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
T1,Chrome 70.0.3538.110,,2018-11-29 13:08:23,2018-11-29 13:08:55,31.732s,ERROR
,,,,,,
Test Cases/Search course,Chrome 70.0.3538.110,To test user will successfully search for an item on Github,2018-11-29 13:08:24,2018-11-29 13:08:39,15.118s,ERROR
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:08:24,2018-11-29 13:08:29,4.564s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:08:29,2018-11-29 13:08:34,5.413s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:08:34,2018-11-29 13:08:35,0.963s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:08:35,2018-11-29 13:08:35,0.214s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:08:35,2018-11-29 13:08:36,0.219s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:08:36,2018-11-29 13:08:37,0.910s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:08:37,2018-11-29 13:08:37,0.127s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:08:37,2018-11-29 13:08:39,2.081s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:08:39,2018-11-29 13:08:39,0.167s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-29 13:08:39,2018-11-29 13:08:39,0.011s,PASSED
,,,,,,
Test Cases/To test user will successfully login to application,Chrome 70.0.3538.110,,2018-11-29 13:08:39,2018-11-29 13:08:55,16.011s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 13:08:39,2018-11-29 13:08:42,2.854s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 13:08:42,2018-11-29 13:08:50,7.248s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:08:50,2018-11-29 13:08:51,1.104s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 13:08:51,2018-11-29 13:08:51,0.135s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 13:08:51,2018-11-29 13:08:51,0.131s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:08:51,2018-11-29 13:08:52,1.592s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:08:52,2018-11-29 13:08:53,0.094s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 13:08:53,2018-11-29 13:08:54,1.659s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 13:08:54,2018-11-29 13:08:55,0.772s,PASSED
